symbol,timestamp,open,high,low,close,volume,vwap,trade_count
AAPL,2026-04-01T08:00:00Z,255.45,255.45,253.59,254.84,39453,254.944,2932
AAPL,2026-04-01T08:01:00Z,255.17,255.17,253.57,253.57,9407,254.371,525
AAPL,2026-04-01T08:03:00Z,254.34,254.5,254.33,254.37,2324,254.417,30
AAPL,2026-04-01T08:04:00Z,254.16,254.16,254.16,254.16,1283,254.16,20
AAPL,2026-04-01T08:05:00Z,254.26,254.26,254.16,254.16,1385,254.193,65
AAPL,2026-04-01T08:06:00Z,254.09,254.11,254.09,254.11,615,254.1,35
AAPL,2026-04-01T08:07:00Z,254.11,254.12,254.11,254.12,663,254.115,27
AAPL,2026-04-01T08:08:00Z,254.11,254.11,254.11,254.11,607,254.11,35
AAPL,2026-04-01T08:09:00Z,254.11,254.11,254.11,254.11,262,254.11,17
AAPL,2026-04-01T08:10:00Z,254.08,254.11,254.08,254.11,839,254.096,40
AAPL,2026-04-01T08:12:00Z,254.2,254.2,254.2,254.2,651,254.2,25
AAPL,2026-04-01T08:13:00Z,254.133,254.133,254.133,254.133,173,254.133,8
AAPL,2026-04-01T08:14:00Z,254.28,254.28,254.14,254.14,898,254.186,26
AAPL,2026-04-01T08:15:00Z,254.11,254.22,254.11,254.22,637,254.154,19
AAPL,2026-04-01T08:16:00Z,254.22,254.24,254.22,254.24,1169,254.226,28
AAPL,2026-04-01T08:17:00Z,254.25,254.25,254.25,254.25,576,254.25,29
AAPL,2026-04-01T08:19:00Z,254.48,254.48,254.48,254.48,305,254.48,17
AAPL,2026-04-01T08:20:00Z,254.48,254.5,254.48,254.5,1298,254.493,34
AAPL,2026-04-01T08:23:00Z,254.5,254.5,254.5,254.5,357,254.5,8
AAPL,2026-04-01T08:25:00Z,254.48,254.5,254.48,254.5,1307,254.497,27
AAPL,2026-04-01T08:28:00Z,254.75,254.75,254.75,254.75,147,254.75,5
AAPL,2026-04-01T08:30:00Z,254.73,254.73,254.73,254.73,427,254.73,9
AAPL,2026-04-01T08:32:00Z,254.73,254.73,254.73,254.73,230,254.73,9
AAPL,2026-04-01T08:34:00Z,254.59,254.59,254.59,254.59,716,254.59,15
AAPL,2026-04-01T08:38:00Z,254.27,254.27,254.27,254.27,225,254.27,11
AAPL,2026-04-01T08:46:00Z,254.68,254.68,254.68,254.68,110,254.68,5
