symbol,timestamp,open,high,low,close,volume,vwap,trade_count
AAPL,2026-06-01T08:00:00Z,310.85,310.95,309.615,310,22874,309.899,1321
AAPL,2026-06-01T08:01:00Z,309.73,310.26,309.65,310.236,9606,309.951,562
AAPL,2026-06-01T08:02:00Z,310.145,310.29,309.61,309.81,46741,310.005,2155
AAPL,2026-06-01T08:03:00Z,310.01,310.18,310,310.18,1517,310.096,56
AAPL,2026-06-01T08:04:00Z,310.271,310.271,310.07,310.2,1394,310.098,55
AAPL,2026-06-01T08:05:00Z,309.88,309.88,309.88,309.88,551,309.88,51
AAPL,2026-06-01T08:08:00Z,310.1,310.13,310.1,310.11,1096,310.11,23
AAPL,2026-06-01T08:09:00Z,310.08,310.18,309.79,310.04,1583,310.008,162
AAPL,2026-06-01T08:10:00Z,309.94,310.29,309.81,309.89,744,309.969,45
AAPL,2026-06-01T08:11:00Z,310.11,310.11,310,310,594,310.05,27
AAPL,2026-06-01T08:12:00Z,310.08,310.08,310.08,310.08,421,310.08,23
AAPL,2026-06-01T08:13:00Z,310.18,310.18,310.06,310.13,2187,310.15,61
AAPL,2026-06-01T08:15:00Z,310,310,310,310,337,310,31
AAPL,2026-06-01T08:17:00Z,310.05,310.07,309.94,310.07,523,310.03,20
AAPL,2026-06-01T08:18:00Z,309.89,309.89,309.89,309.89,547,309.89,23
AAPL,2026-06-01T08:19:00Z,309.88,309.88,309.6,309.6,3139,309.758,85
AAPL,2026-06-01T08:20:00Z,309.65,309.76,309.65,309.76,713,309.673,18
AAPL,2026-06-01T08:21:00Z,309.68,309.68,309.67,309.67,375,309.675,23
AAPL,2026-06-01T08:22:00Z,309.635,309.66,309.6,309.66,621,309.62,18
AAPL,2026-06-01T08:24:00Z,309.84,309.94,309.8,309.855,2540,309.894,37
AAPL,2026-06-01T08:26:00Z,309.87,309.87,309.87,309.87,273,309.87,16
AAPL,2026-06-01T08:27:00Z,309.94,309.94,309.94,309.94,546,309.94,29
AAPL,2026-06-01T08:28:00Z,309.93,309.94,309.86,309.86,550,309.912,23
AAPL,2026-06-01T08:29:00Z,309.96,310.15,309.96,310.08,2206,310.046,80
AAPL,2026-06-01T08:30:00Z,310.07,310.18,310.07,310.17,1532,310.148,52
AAPL,2026-06-01T08:31:00Z,310.17,310.18,310.144,310.144,839,310.159,28
AAPL,2026-06-01T08:32:00Z,310.18,310.18,310,310.06,751,310.044,26
AAPL,2026-06-01T08:34:00Z,310.028,310.028,310.028,310.028,154,310.028,8
AAPL,2026-06-01T08:35:00Z,310.02,310.07,310.02,310.07,225,310.047,13
AAPL,2026-06-01T08:36:00Z,310,310.09,310,310.09,1384,310.031,46
AAPL,2026-06-01T08:37:00Z,310.03,310.03,310.03,310.03,485,310.03,20
AAPL,2026-06-01T08:39:00Z,310.01,310.12,310.01,310.12,832,310.022,33
AAPL,2026-06-01T08:40:00Z,309.903,309.903,309.903,309.903,450,309.903,30
AAPL,2026-06-01T08:41:00Z,310,310,310,310,115,310,6
AAPL,2026-06-01T08:42:00Z,309.8,309.8,309.8,309.8,61,309.8,6
AAPL,2026-06-01T08:45:00Z,309.97,309.97,309.97,309.97,108,309.97,10
AAPL,2026-06-01T08:46:00Z,309.9,309.9,309.9,309.9,246,309.9,21
AAPL,2026-06-01T08:48:00Z,309.91,309.91,309.91,309.91,113,309.91,13
AAPL,2026-06-01T08:51:00Z,309.89,309.89,309.89,309.89,240,309.89,12
AAPL,2026-06-01T08:53:00Z,309.96,310,309.92,310,5561,309.998,43
AAPL,2026-06-01T08:54:00Z,310.1,310.1,310.09,310.09,3059,310.091,16
AAPL,2026-06-01T08:56:00Z,310.1,310.11,310.009,310.009,785,310.086,26
AAPL,2026-06-01T08:57:00Z,310.09,310.18,310.06,310.178,1358,310.104,40
AAPL,2026-06-01T08:58:00Z,310.095,310.35,310.095,310.35,1626,310.213,37
AAPL,2026-06-01T09:00:00Z,310.33,310.44,310.33,310.44,2458,310.358,18
AAPL,2026-06-01T09:01:00Z,310.39,310.46,310.39,310.46,343,310.415,22
AAPL,2026-06-01T09:02:00Z,310.449,310.47,310.449,310.47,1203,310.467,31
AAPL,2026-06-01T09:03:00Z,310.48,310.48,310.38,310.38,1346,310.458,50
AAPL,2026-06-01T09:04:00Z,310.41,310.41,310.41,310.41,234,310.41,14
AAPL,2026-06-01T09:08:00Z,310.231,310.47,310.23,310.23,1058,310.258,20
AAPL,2026-06-01T09:09:00Z,310.23,310.3,310.18,310.3,749,310.23,30
AAPL,2026-06-01T09:10:00Z,310.23,310.23,310.23,310.23,272,310.23,14
AAPL,2026-06-01T09:11:00Z,310.18,310.18,310.18,310.18,140,310.18,5
AAPL,2026-06-01T09:12:00Z,310.24,310.24,310.24,310.24,122,310.24,4
AAPL,2026-06-01T09:14:00Z,310.09,310.19,310.09,310.19,1496,310.17,24
AAPL,2026-06-01T09:15:00Z,310.24,310.24,310.19,310.24,1531,310.216,27
AAPL,2026-06-01T09:16:00Z,310.25,310.25,310.09,310.09,1141,310.227,19
AAPL,2026-06-01T09:19:00Z,310.32,310.33,310.32,310.33,538,310.328,16
AAPL,2026-06-01T09:22:00Z,310.33,310.33,310.19,310.33,1492,310.243,32
AAPL,2026-06-01T09:23:00Z,310.18,310.18,310.18,310.18,151,310.18,24
AAPL,2026-06-01T09:24:00Z,310.33,310.33,310.18,310.18,371,310.232,24
AAPL,2026-06-01T09:25:00Z,310.18,310.18,309.65,309.8,8338,309.869,153
AAPL,2026-06-01T09:26:00Z,309.86,309.86,309.78,309.8,258,309.809,18
AAPL,2026-06-01T09:27:00Z,309.81,309.84,309.8,309.8,1204,309.816,38
AAPL,2026-06-01T09:28:00Z,309.714,309.714,309.714,309.714,565,309.714,28
AAPL,2026-06-01T09:29:00Z,309.75,309.84,309.73,309.84,728,309.762,32
AAPL,2026-06-01T09:30:00Z,309.81,309.98,309.76,309.98,1317,309.861,53
AAPL,2026-06-01T09:31:00Z,309.93,309.95,309.93,309.95,257,309.935,15
AAPL,2026-06-01T09:32:00Z,309.94,309.94,309.94,309.94,330,309.94,20
AAPL,2026-06-01T09:33:00Z,309.95,309.95,309.95,309.95,87,309.95,12
AAPL,2026-06-01T09:34:00Z,309.98,310.08,309.98,310.08,554,310.009,29
AAPL,2026-06-01T09:35:00Z,309.95,310.19,309.95,310.19,229,310.019,12
AAPL,2026-06-01T09:39:00Z,310.05,310.05,310.05,310.05,75,310.05,9
AAPL,2026-06-01T09:40:00Z,310.24,310.24,310.24,310.24,153,310.24,11
AAPL,2026-06-01T09:41:00Z,310.25,310.25,310.14,310.14,754,310.17,27
AAPL,2026-06-01T09:42:00Z,310.15,310.15,310.1,310.1,2085,310.101,18
AAPL,2026-06-01T09:43:00Z,310.036,310.036,310.036,310.036,153,310.036,16
AAPL,2026-06-01T09:45:00Z,310.01,310.01,310.01,310.01,269,310.01,16
AAPL,2026-06-01T09:47:00Z,310.05,310.05,310.05,310.05,238,310.05,17
AAPL,2026-06-01T09:50:00Z,310.11,310.11,310.11,310.11,174,310.11,8
AAPL,2026-06-01T09:51:00Z,310.11,310.11,310.11,310.11,249,310.11,9
AAPL,2026-06-01T09:52:00Z,310.09,310.11,310.09,310.11,277,310.105,10
AAPL,2026-06-01T09:55:00Z,310.1,310.1,310.1,310.1,355,310.1,7
AAPL,2026-06-01T09:58:00Z,310.071,310.071,310.071,310.071,132,310.071,18
AAPL,2026-06-01T09:59:00Z,310.07,310.07,309.97,309.97,984,310.05,54
AAPL,2026-06-01T10:01:00Z,309.94,309.97,309.94,309.97,187,309.957,9
AAPL,2026-06-01T10:02:00Z,309.96,309.97,309.91,309.91,3211,309.962,40
AAPL,2026-06-01T10:03:00Z,309.91,309.91,309.91,309.91,106,309.91,14
AAPL,2026-06-01T10:04:00Z,309.84,309.84,309.83,309.83,526,309.833,44
AAPL,2026-06-01T10:07:00Z,309.8,309.8,309.8,309.8,193,309.8,13
AAPL,2026-06-01T10:08:00Z,309.79,309.791,309.79,309.791,269,309.79,15
AAPL,2026-06-01T10:09:00Z,309.79,309.79,309.79,309.79,171,309.79,15
AAPL,2026-06-01T10:10:00Z,309.79,309.79,309.74,309.74,1019,309.784,29
AAPL,2026-06-01T10:11:00Z,309.702,309.702,309.7,309.7,250,309.701,14
AAPL,2026-06-01T10:12:00Z,309.73,309.86,309.73,309.86,4195,309.824,69
AAPL,2026-06-01T10:13:00Z,309.73,309.73,309.73,309.73,70,309.73,5
AAPL,2026-06-01T10:14:00Z,309.84,309.86,309.8,309.8,285,309.83,11
AAPL,2026-06-01T10:15:00Z,309.83,309.9,309.83,309.9,12578,309.886,82
AAPL,2026-06-01T10:16:00Z,309.93,309.93,309.83,309.83,1535,309.867,34
AAPL,2026-06-01T10:18:00Z,309.86,309.86,309.844,309.847,870,309.852,21
AAPL,2026-06-01T10:19:00Z,309.83,309.85,309.82,309.85,1368,309.833,28
