symbol,timestamp,open,high,low,close,volume,vwap,trade_count
AAPL,2026-07-01T08:00:00Z,289.04,289.7,288.945,289.302,10036,289.514,480
AAPL,2026-07-01T08:01:00Z,289.32,289.69,288.6,289.35,7732,289.464,506
AAPL,2026-07-01T08:02:00Z,289.6,289.69,289.32,289.61,3143,289.573,264
AAPL,2026-07-01T08:03:00Z,289.44,289.7,289,289.51,2795,289.539,250
AAPL,2026-07-01T08:04:00Z,289.61,289.68,288.61,289.49,11684,289.175,560
AAPL,2026-07-01T08:05:00Z,289.51,289.51,289.38,289.4,992,289.401,70
AAPL,2026-07-01T08:06:00Z,289.48,289.5,289.48,289.5,5815,289.5,23
AAPL,2026-07-01T08:07:00Z,289.69,289.69,289.51,289.64,907,289.603,65
AAPL,2026-07-01T08:08:00Z,289.66,289.68,289.42,289.42,620,289.591,48
AAPL,2026-07-01T08:11:00Z,289.48,289.48,289.48,289.48,212,289.48,12
AAPL,2026-07-01T08:12:00Z,289.51,289.51,289.51,289.51,265,289.51,22
AAPL,2026-07-01T08:15:00Z,289.57,289.7,289.47,289.7,773,289.607,30
AAPL,2026-07-01T08:25:00Z,289.5,289.5,289.42,289.42,284,289.432,9
AAPL,2026-07-01T08:26:00Z,289.5,289.5,289.5,289.5,188,289.5,16
AAPL,2026-07-01T08:28:00Z,289.52,289.59,289.52,289.53,387,289.549,24
AAPL,2026-07-01T08:29:00Z,289.49,289.49,289.49,289.49,147,289.49,11
AAPL,2026-07-01T08:30:00Z,289.64,289.64,289.361,289.361,172,289.527,13
AAPL,2026-07-01T08:36:00Z,289.33,289.4,289.33,289.4,398,289.368,32
AAPL,2026-07-01T08:38:00Z,289.21,289.22,289.21,289.22,345,289.216,27
AAPL,2026-07-01T08:39:00Z,289.24,289.24,289.23,289.23,356,289.234,18
AAPL,2026-07-01T08:40:00Z,289.17,289.17,289.11,289.11,471,289.132,16
AAPL,2026-07-01T08:41:00Z,289.17,289.17,289.13,289.15,382,289.157,16
