symbol,timestamp,open,high,low,close,volume,vwap,trade_count
AAPL,2026-01-01T00:00:00Z,272.14,272.22,272.14,272.22,532,272.195,12
AAPL,2026-01-01T00:01:00Z,272.118,272.118,272.118,272.118,370,272.118,9
AAPL,2026-01-01T00:04:00Z,272.17,272.17,272.17,272.17,118,272.17,6
AAPL,2026-01-01T00:11:00Z,272.12,272.12,272.12,272.12,340,272.12,6
AAPL,2026-01-01T00:14:00Z,272.15,272.15,272.15,272.15,400,272.15,3
AAPL,2026-01-01T00:17:00Z,272.12,272.12,272.12,272.12,146,272.12,3
AAPL,2026-01-01T00:20:00Z,272.12,272.12,272.11,272.11,1606,272.113,13
AAPL,2026-01-01T00:21:00Z,272.08,272.09,272.08,272.09,512,272.088,6
AAPL,2026-01-01T00:28:00Z,272.085,272.09,272.085,272.09,265,272.087,3
AAPL,2026-01-01T00:33:00Z,272.03,272.03,272.03,272.03,165,272.03,5
AAPL,2026-01-01T00:34:00Z,272.03,272.03,272,272,2907,272.006,15
AAPL,2026-01-01T00:36:00Z,272.01,272.01,272.01,272.01,204,272.01,4
AAPL,2026-01-01T00:44:00Z,272.09,272.09,272.09,272.09,685,272.09,48
AAPL,2026-01-01T00:51:00Z,272.199,272.199,272.199,272.199,203,272.199,5
AAPL,2026-01-01T00:58:00Z,272.09,272.09,272.09,272.09,213,272.09,22
AAPL,2026-01-02T09:00:00Z,273.27,273.3,273.27,273.3,1788,273.289,75
AAPL,2026-01-02T09:01:00Z,273.3,273.31,273.3,273.31,791,273.305,39
AAPL,2026-01-02T09:05:00Z,273.5,273.53,273.41,273.41,2919,273.484,44
AAPL,2026-01-02T09:06:00Z,273.52,273.53,273.52,273.53,1139,273.522,30
AAPL,2026-01-02T09:08:00Z,273.53,273.53,273.53,273.53,286,273.53,12
AAPL,2026-01-02T09:11:00Z,273.6,273.6,273.53,273.53,922,273.555,46
AAPL,2026-01-02T09:12:00Z,273.55,273.55,273.55,273.55,1116,273.55,29
AAPL,2026-01-02T09:14:00Z,273.7,274,273.7,273.85,4906,273.896,131
AAPL,2026-01-02T09:15:00Z,273.82,273.94,273.8,273.94,1750,273.836,50
AAPL,2026-01-02T09:16:00Z,273.68,273.68,273.68,273.68,1080,273.68,27
AAPL,2026-01-02T09:17:00Z,273.6,273.6,273.58,273.58,903,273.595,25
AAPL,2026-01-02T09:18:00Z,273.56,273.56,273.53,273.53,15708,273.531,24
AAPL,2026-01-02T09:19:00Z,273.55,273.55,273.55,273.55,165,273.55,4
AAPL,2026-01-02T09:21:00Z,273.62,273.62,273.62,273.62,188,273.62,7
AAPL,2026-01-02T09:24:00Z,273.6,273.6,273.53,273.53,1002,273.561,28
AAPL,2026-01-02T09:25:00Z,273.6,273.6,273.6,273.6,532,273.6,31
AAPL,2026-01-02T09:26:00Z,273.52,273.52,273.52,273.52,243,273.52,6
AAPL,2026-01-02T09:27:00Z,273.69,273.69,273.69,273.69,265,273.69,15
AAPL,2026-01-02T09:28:00Z,273.75,273.75,273.75,273.75,279,273.75,10
AAPL,2026-01-02T09:29:00Z,273.78,273.78,273.78,273.78,355,273.78,10
AAPL,2026-01-02T09:30:00Z,273.66,273.7,273.66,273.7,590,273.681,29
AAPL,2026-01-02T09:31:00Z,273.59,273.59,273.59,273.59,741,273.59,36
AAPL,2026-01-02T09:38:00Z,273.61,273.61,273.5,273.5,14229,273.503,39
AAPL,2026-01-02T09:39:00Z,273.5,273.73,273.5,273.73,5329,273.601,84
AAPL,2026-01-02T09:44:00Z,273.45,273.45,273.45,273.45,256,273.45,15
AAPL,2026-01-02T09:47:00Z,273.43,273.43,273.43,273.43,240,273.43,5
AAPL,2026-01-02T09:48:00Z,273.43,273.43,273.38,273.38,2632,273.412,52
AAPL,2026-01-02T09:49:00Z,273.35,273.35,273.35,273.35,922,273.35,28
AAPL,2026-01-02T09:51:00Z,273.31,273.31,273.31,273.31,1054,273.31,35
AAPL,2026-01-02T09:52:00Z,273.31,273.32,273.31,273.31,1126,273.311,23
AAPL,2026-01-02T09:53:00Z,273.31,273.32,273.31,273.32,1122,273.311,18
AAPL,2026-01-02T09:54:00Z,273.31,273.31,273.31,273.31,307,273.31,8
AAPL,2026-01-02T09:55:00Z,273.32,273.32,273.32,273.32,681,273.32,27
AAPL,2026-01-02T09:56:00Z,273.31,273.32,273.31,273.31,1529,273.311,19
AAPL,2026-01-02T09:57:00Z,273.31,273.31,273.31,273.31,1357,273.31,18
AAPL,2026-01-02T09:58:00Z,273.3,273.34,273.3,273.34,15465,273.3,33
AAPL,2026-01-02T10:01:00Z,273.21,273.21,273.2,273.2,2467,273.201,37
